race_id,winner_id,category
tour-down-under,NULL,2.UWT
great-ocean-race,NULL,1.UWT
uae-tour,tadej-pogacar,2.UWT
omloop-het-nieuwsblad,wout-van-aert,1.UWT
strade-bianche,tadej-pogacar,1.UWT
paris-nice,primoz-roglic,2.UWT
tirreno-adriatico,tadej-pogacar,2.UWT
milano-sanremo,matej-mohoric,1.UWT
volta-a-catalunya,sergio-higuita,2.UWT
oxyclean-classic-brugge-de-panne,tim-merlier,1.UWT
e3-harelbeke,wout-van-aert,1.UWT
gent-wevelgem,biniam-girmay,1.UWT
dwars-door-vlaanderen,mathieu-van-der-poel,1.UWT
ronde-van-vlaanderen,mathieu-van-der-poel,1.UWT
itzulia-basque-country,daniel-felipe-martinez,2.UWT
amstel-gold-race,michal-kwiatkowski,1.UWT
paris-roubaix,dylan-van-baarle,1.UWT
la-fleche-wallone,dylan-teuns,1.UWT
liege-bastogne-liege,NULL,1.UWT
tour-de-romandie,NULL,2.UWT
Eschborn-Frankfurt,NULL,1.UWT
giro-d-italia,NULL,2.UWT
dauphine,NULL,2.UWT
tour-de-suisse,NULL,2.UWT
tour-de-france,NULL,2.UWT
san-sebastian,NULL,1.UWT
tour-de-pologne,NULL,2.UWT
vuelta-a-espana,NULL,2.UWT
cyclassics-hamburg,NULL,1.UWT
bretagne-classic,NULL,1.UWT
benelux-tour,NULL,2.UWT
gp-quebec,NULL,1.UWT
gp-montreal,NULL,1.UWT
il-lombardia,NULL,1.UWT
tour-of-guangxi,NULL,2.UWT
